"id","createdAt","updatedAt","deletedAt","contract","name"
"_M6XzNuPuoAvc4xjTE7mq","2022-04-25 00:32:00.407426+00","2022-04-25 00:32:00.407426+00",,"0x0cc86DA640878DbCf54D0F090a51f9C1c85aA42C","DAOBnB"
"3OgESUB2IxTxDUGl98The","2022-04-25 00:32:00.424751+00","2022-04-25 00:32:00.424751+00",,"0x0427743DF720801825a5c82e0582B1E915E0F750","0xmons.xyz"
"T5WuEyUpoUqls2JeZp5PM","2022-04-25 00:32:00.451577+00","2022-04-25 00:32:00.451577+00",,"0x495f947276749Ce646f68AC8c248420045cb7b5e","OpenSea Shared Storefront"
"foYP9q4Ubou85U-J42aIA","2022-04-25 00:32:00.544847+00","2022-04-25 00:32:00.544847+00",,"0x282Af980C9E93D82d532E3868c4614f493583C2F","Insane Monkeys NFTs"
"SmcZf9TYBKauB-1BWdq5A","2022-04-25 00:32:00.620102+00","2022-04-25 00:32:00.620102+00",,"0x15F7c142161469A58dc81339E4655d3dCb559D25","Mojimon"
